"feedback","translation"
"Kde je farmář a kde je kukuřice? Vyber všechny obrázky, které jsou mezi nimi.","Where is the farmer and where is the corn? Choose all the pictures that are between them."
"Kde je tričko a květina? Vyber obrázek, který je mezi nimi.","Where is the t-shirt and the flower? Choose the picture that is between them."
"Všechny mezi králíkem a zebrou.","All between the rabbit and the zebra."
"Všechny mezi psem a melounem.","All between the dog and the watermelon."
"Co znamená všechny mezi žirafou a motýlem?","What does “all between the giraffe and the butterfly” mean?"
"Všechny mezi kachnou a lízátkem.","All between the duck and the lollipop."
"Všechny mezi vejcem a pavučinou.","All between the egg and the spider web."
"Co znamená všechny mezi kočkou a dortem?","What does “all between the cat and the cake” mean?"
"Co znamená všechny mezi rostlinou a autobusem?","What does “all between the plant and the bus” mean?"
"Kde je rostlina a autobus? Vyber obrázek, který je mezi nimi.","Where is the plant and the bus? Choose the picture that is between them."
"Všechny mezi komárem a bonbónem.","All between the mosquito and the candy."
"Všechny mezi listnatým stromem a dortem.","All between the leafy tree and the cake."
"Všechny mezi netopýrem a balónkem.","All between the bat and the balloon."
"Co znamená všechny mezi divokým prasetem a kýblem?","What does “all between the wild boar and the bucket” mean?"
"Co znamená všechny mezi šaty a kukuřicí?","What does “all between the dress and the corn” mean?"
"Být na trávě znamená stát nebo ležet na zelené měkké zemi, kde roste tráva.","To be on the grass means to stand or lie down on the soft green ground where grass grows."
"Kde je kelímek a zmrzlina? Vyber obrázek, který je mezi nimi.","Where is the cup and the ice cream? Choose the picture that is between them."
"Co znamená všechny mezi divokým prasetem a melounem?","What does “all between the wild boar and the watermelon” mean?"
"Všechny mezi trumpetou a melounem.","All between the trumpet and the watermelon."
"Kde je dort a květina? Vyber obrázek, který je mezi nimi.","Where is the cake and the flower? Choose the picture that is between them."
"Co znamená všechny mezi kuřecím stehnem a zmrzlinou?","What does “all between the chicken drumstick and the ice cream” mean?"
"Kde je jehličnatý strom a bonbón? Vyber obrázek, který je mezi nimi.","Where is the pine tree and the candy? Choose the picture that is between them."
"Co znamená všechny mezi listnatým stromem a kalhotami?","What does “all between the leafy tree and the pants” mean?"
"Kde je listnatý strom a kde jsou kalhoty? Vyber obrázek, který je mezi nimi.","Where is the leafy tree and where are the pants? Choose the picture that is between them."
"Všechny mezi květinou a hrošíkem.","All between the flower and the little hippo."
"Co znamená všechny mezi farmářem a králíkem?","What does “all between the farmer and the rabbit” mean?"
"Kde je listnatý strom a autobus? Vyber obrázek, který je mezi nimi.","Where is the leafy tree and the bus? Choose the picture that is between them."
"Všechny mezi krávou a šaty.","All the ones between the cow and the dress."
"Khi không phải là người thì đó là gì?","If it’s not a person, what is it?"
"Kde je farmář a kde je okurka? Vyber obrázky, které jsou mezi nimi.","Where is the farmer and where is the cucumber? Choose the pictures that are between them."
"Kde je vejce a kde je kýbl? Vyber všechny obrázky, které jsou mezi nimi.","Where is the egg and where is the bucket? Choose all the pictures that are between them."
"Kde je brokolice a dort? Vyber obrázek, který je mezi nimi.","Where is the broccoli and the cake? Choose the picture that is between them."
"Kde je bonbón a kýbl? Vyber všechny obrázky, které jsou mezi nimi.","Where is the candy and the bucket? Choose all the pictures that are between them."
"Це людина, без капелюха, і вона не стоїть.","This is a person without a hat, and they are not standing."
"Коли в червоній має бути ще дві, то скільки має бути в рамочці?","If there should be two more in the red one, how many should be in the box?"
"Яка йде відразу після восьмої картинки.","Which one comes right after the eighth picture?"
"Ти знаєш, який восьмий малюнок? Обери малюнок одразу після нього.","Do you know which is the eighth picture? Choose the picture right after it."
"Усі між яйцем та кукурудзою.","All the ones between the egg and the corn."
"Де яйце і кукурудза? Обери картинку, яка між ними.","Where is the egg and the corn? Pick the picture that is between them."
"Co znamená všechny mezi jehličnatým stromem a psem?","What does “all the ones between the pine tree and the dog” mean?"
"Všechny mezi prasátkem a autobusem.","All the ones between the piglet and the bus."
"Co znamená všechny mezi autobusem a kelímkem?","What does “all the ones between the bus and the cup” mean?"
"Kde je autobus a kelímek? Vyber obrázky, které jsou mezi nimi.","Where is the bus and the cup? Pick the pictures that are between them."
"Všechny mezi pavoukem a jednorožcem.","All the ones between the spider and the unicorn."
"Kde je hrozen a netopýr? Vyber obrázek, který je mezi nimi.","Where is the bunch of grapes and the bat? Pick the picture that is between them."
"Co znamená všechny mezi lízátkem a taškou?","What does “all the ones between the lollipop and the bag” mean?"
"Všechny mezi kočkou a salátem.","All the ones between the cat and the lettuce."
"Co znamená všechny mezi králíkem a autobusem?","What does “everything between the rabbit and the bus” mean?"
"Co znamená všechny mezi jelenem a bonbónem?","What does “everything between the deer and the candy” mean?"
"Co znamená všechny mezi jehličnatým stromem a drakem?","What does “everything between the pine tree and the dragon” mean?"
"Co znamená mezi listem a kyticí?","What does “between the leaf and the bouquet” mean?"
"Co znamená všechny mezi kachnou a bonbónem?","What does “everything between the duck and the candy” mean?"
"Це людина, без капелюха, і вона не сидить.","This is a person, without a hat, and they are not sitting."
"Усі між мухою та кішечкою.","Everything between the fly and the kitty."
"У верхньому середньому полі означає, що щось знаходиться посередині вгорі.","In the top middle box, it means something is in the middle at the top."
"Všechny mezi autobusem a melounem.","Everything between the bus and the watermelon."
"Nó không phải là người, không có mũ, và đang ngồi.","It is not a person, does not have a hat, and is sitting."
"Không phải là động vật có nghĩa là không phải con thú.","Not being an animal means it’s not a creature."
"Con biết hình đầu tiên ở đâu không? Hãy chọn tất cả các hình sau hình đó nhé.","Do you know where the first picture is? Choose all the pictures that come after it."
"Všechny mezi tričkem a kyticí.","All the ones between the t-shirt and the bouquet."
"Kde je třetí a pátý obrázek? Vyber obrázky, které jsou mezi nimi.","Where are the third and fifth pictures? Pick the pictures that are between them."
"Co znamená všechny mezi diamantem a zmrzlinou?","What does “all between the diamond and the ice cream” mean?"
"Co znamená všechny mezi kachnou a kočkou?","What does “all between the duck and the cat” mean?"
"Kde je kachna a kočka? Vyber všechny obrázky, které jsou mezi nimi.","Where are the duck and the cat? Pick all the pictures that are between them."
"Co znamená všechny mezi pavoukem a medvídkem?","What does “all between the spider and the teddy bear” mean?"
"Co znamená mezi lanovkou a kyticí?","What does “between the cable car and the bouquet” mean?"
